City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Hatchback,70000,1,Tata,Tata Indica V2,0.7105263157894726,1396,LX,Third Party insurance,4.0,Red,4.0,CR4 Diesel Engine,5,0.13207547169811323,140.0,-3.975354058786529,69.0,True,False,False,False,True,0,0,16,74,453,4,67,53
Bangalore,Hatchback,26031,1,Maruti,Maruti Baleno,0.8421052631578902,1197,1.2 Zeta,Comprehensive,4.0,Blue,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.630957827946661,83.1,False,False,False,True,True,0,0,11,43,75,1,6,152
Bangalore,Hatchback,30740,1,Maruti,Maruti Swift,0.8157894736842053,1197,VXI,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.8291064795360397,88.5,False,False,False,True,True,0,0,11,52,656,1,69,83
Bangalore,SUV,20000,1,MG,MG Astor,0.973684210526315,1498,Sharp CVT BSVI,Third Party insurance,4.0,Others,4.0,VTi-TECH,5,0.05524528301886793,144.0,-1.867727487921183,108.49,False,False,False,True,False,0,2,9,41,565,4,53,149
Bangalore,Hatchback,65909,1,Maruti,Maruti Ignis,0.8421052631578902,1197,1.2 AMT Zeta BSIV,Zero Dep,4.0,White,4.0,1.2-Litre VVT Petrol Engine,5,0.1010566037735849,113.0,-2.8326473152247686,81.8,False,False,False,True,False,0,0,11,48,3,5,82,11
Bangalore,Hatchback,140590,1,Hyundai,Hyundai i20,0.7368421052631575,1197,Asta 1.2,Comprehensive,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,0.0830188679245283,113.7,-3.204250688780491,82.85,False,False,False,True,True,0,0,6,36,321,1,6,102
Bangalore,Sedan,51801,1,Maruti,Maruti Swift Dzire,0.8947368421052602,1197,AMT ZXI Plus,Comprehensive,4.0,Silver,4.0,K Series VVT Engine,5,0.10347169811320754,113.0,-2.591170755057436,81.8,False,False,False,True,False,0,3,11,53,296,1,69,86
Bangalore,Hatchback,62621,1,Hyundai,Hyundai i20,0.8421052631578902,1197,Sportz 1.2,Zero Dep,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.7124706783386574,81.83,False,False,False,True,True,0,0,6,36,574,5,6,102
Bangalore,Hatchback,79068,1,Maruti,Maruti Swift,0.7631578947368425,1197,VXI,Comprehensive,4.0,Red,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-3.0300368035462206,88.5,False,False,False,True,True,0,0,11,52,656,1,67,83
Bangalore,Hatchback,50000,1,Maruti,Maruti Swift,0.8684210526315752,1197,LXI 2018,Third Party insurance,4.0,Others,4.0,VTVT Engine,5,0.10943396226415093,113.0,-2.973339299293493,81.8,False,False,False,True,True,0,0,11,52,459,4,53,146
Bangalore,Sedan,30000,2,Volkswagen,Volkswagen Ameo,0.8684210526315752,1498,1.5 TDI Highline Plus 16 AT,Third Party insurance,4.0,Others,4.0,TDI Diesel Engine,5,0.10739622641509435,250.0,-2.574592103105218,108.62,True,False,False,False,False,0,3,18,86,176,4,53,125
Bangalore,Hatchback,47488,2,Maruti,Maruti Ignis,0.8421052631578902,1197,1.2 AMT Zeta BSIV,Comprehensive,4.0,Silver,4.0,1.2-Litre VVT Petrol Engine,5,0.1010566037735849,113.0,-2.9024209827438168,81.8,False,False,False,True,False,0,0,11,48,3,1,69,11
Bangalore,Hatchback,56814,1,Honda,Honda Jazz,0.8157894736842053,1199,1.2 SV i VTEC,Comprehensive,4.0,Red,4.0,i-VTEC Petrol Engine,5,0.08452830188679246,110.0,-2.927454109221479,88.7,False,False,False,True,True,0,0,5,24,47,1,67,167
Bangalore,Hatchback,63206,1,Hyundai,Hyundai i10,0.7105263157894726,1197,Sportz,Comprehensive,4.0,White,4.0,DOHC Kappa2 Engine,5,0.0970566037735849,111.8,-3.42492903599677,78.9,False,False,False,True,True,0,0,6,35,573,1,82,66
Bangalore,Sedan,61103,2,Maruti,Maruti Ciaz,0.8684210526315752,1462,Delta BSIV,Comprehensive,4.0,Silver,4.0,k15B VVT Engine,5,0.10611320754716981,138.0,-2.496853820721305,103.25,False,False,False,True,True,0,3,11,45,364,1,69,170
Bangalore,Hatchback,36977,2,Hyundai,Hyundai Grand i10,0.8684210526315752,1197,1.2 Kappa Sportz BSIV,Comprehensive,4.0,Others,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,113.75,-2.9081424876936683,81.86,False,False,False,True,True,0,0,6,30,31,1,53,102
Bangalore,Hatchback,60000,2,Hyundai,Hyundai i20,0.7368421052631575,1396,Asta 1.4 CRDi,Third Party insurance,4.0,Others,4.0,U2 CRDI Diesel Engine,5,0.1039245283018868,219.6,-3.047472554799393,88.76,True,False,False,False,True,0,0,6,36,322,4,53,135
Bangalore,Hatchback,61978,1,Maruti,Maruti Wagon R,0.9473684210526301,1197,ZXI AMT 1.2,Comprehensive,4.0,Silver,4.0,K12M Petrol Engine,5,0.09826415094339623,113.0,-2.6845549211976296,81.8,False,False,False,True,False,0,0,11,56,729,1,69,87
Bangalore,Hatchback,27658,1,Maruti,Maruti Wagon R,0.9473684210526301,1197,ZXI 1.2,Third Party,4.0,White,4.0,K12M Petrol Engine,5,0.09826415094339623,113.0,-2.7824932036866463,81.8,False,False,False,True,True,0,0,11,56,725,3,82,87
Bangalore,SUV,26000,1,Kia,Kia Seltos,0.8947368421052602,1497,HTK G,Comprehensive,4.0,Silver,4.0,SMARTSTREAM G1.5,5,0.07018867924528303,144.0,-2.1420208716921376,113.43,False,False,False,True,True,0,2,8,39,423,1,69,116
Bangalore,Hatchback,43371,2,Hyundai,Hyundai i20,0.7894736842105203,1197,Asta 1.2,Comprehensive,4.0,Red,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.813326063388143,81.83,False,False,False,True,True,0,0,6,36,321,1,67,102
Bangalore,Hatchback,67633,1,Honda,Honda Jazz,0.8421052631578902,1199,1.2 V i VTEC,Third Party insurance,4.0,Red,4.0,i-VTEC Petrol Engine,5,0.08452830188679246,110.0,-2.8063916917029923,88.7,False,False,False,True,True,0,0,5,24,63,4,67,167
Bangalore,Hatchback,76794,1,Maruti,Maruti Baleno,0.8157894736842053,1197,1.2 Delta,Third Party insurance,4.0,Orange,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.7624537580648796,83.1,False,False,False,True,True,0,0,11,43,13,4,51,152
Bangalore,Hatchback,50000,2,Hyundai,Hyundai i10,0.7105263157894726,1197,Sportz,Third Party insurance,4.0,Others,4.0,DOHC Kappa2 Engine,5,0.0970566037735849,111.8,-3.4641704010457386,78.9,False,False,False,True,True,0,0,6,35,573,4,53,66
Bangalore,Hatchback,50000,2,Fiat,Fiat Punto Abarth,0.8684210526315752,1368,1.4 T-Jet,Third Party insurance,4.0,Black,4.0,T-Jet Petrol Engine,5,0.06641509433962264,212.0,-2.943176498415315,145.0,False,False,False,True,True,0,0,3,11,129,4,5,123
Bangalore,SUV,80000,1,Hyundai,Hyundai Creta,0.7894736842105203,1582,1.6 CRDi SX,Third Party insurance,4.0,White,4.0,U2 CRDI VGT Engine,5,0.09184905660377359,259.9,-2.401409851393053,126.2,True,False,False,False,True,0,2,6,28,207,4,82,138
