City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,Hatchback,35250,1,Maruti,Maruti Swift,0.7894736842105203,1197,VXI,Comprehensive,4.0,White,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.898624752013187,88.5,False,False,False,True,True,0,0,11,52,656,1,82,83
Bangalore,Hatchback,56661,1,Maruti,Maruti Swift,0.7631578947368425,1197,VXI,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.963183607840812,88.5,False,False,False,True,True,0,0,11,52,656,1,69,83
Bangalore,Hatchback,90213,2,Hyundai,Hyundai i20,0.8157894736842053,1197,Asta 1.2,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.8724471556364954,81.83,False,False,False,True,True,0,0,6,36,321,1,69,102
Bangalore,Sedan,70000,3,Volkswagen,Volkswagen Vento,0.6578947368421026,1598,Petrol Highline,Third Party insurance,4.0,Others,4.0,In Line Petrol Engine,5,0.05690566037735849,153.0,-3.384086390007319,103.6,False,False,False,True,True,0,3,18,90,492,4,53,78
Bangalore,Hatchback,20739,1,Honda,Honda Jazz,0.9473684210526301,1199,ZX CVT,Comprehensive,4.0,Brown,4.0,1.2 i-VTEC,5,0.07245283018867925,110.0,-2.3324046120971422,88.5,False,False,False,True,False,0,0,5,24,722,1,9,7
Bangalore,Hatchback,20000,2,Hyundai,Hyundai i20,0.9210526315789451,1197,Sportz Plus Dual Tone BSIV,Third Party insurance,4.0,Others,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,117.0,-2.6455600595470927,81.86,False,False,False,True,True,0,0,6,36,593,4,53,102
Bangalore,Hatchback,70000,1,Hyundai,Hyundai i20,0.7894736842105203,1396,Sportz Option 1.4 CRDi,Third Party insurance,4.0,Others,4.0,U2 CRDI Diesel Engine,5,0.11350943396226414,219.7,-2.8948428781654547,88.73,True,False,False,False,True,0,0,6,36,585,4,53,135
Bangalore,Hatchback,47127,2,Hyundai,Hyundai i20,0.7894736842105203,1197,Asta 1.2,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.83798218816656,81.83,False,False,False,True,True,0,0,6,36,321,1,69,102
Bangalore,Hatchback,47038,1,Maruti,Maruti Swift,0.8421052631578902,1197,VXI Optional,Comprehensive,4.0,Others,4.0,K Series VVT Engine,5,0.09735849056603772,113.0,-2.836200732995148,81.8,False,False,False,True,True,0,0,11,52,667,1,53,86
Bangalore,Hatchback,40769,1,Hyundai,Hyundai Grand i10,0.8684210526315752,1197,1.2 Kappa Magna BSIV,Third Party,4.0,Blue,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,113.75,-2.931361592912127,81.86,False,False,False,True,True,0,0,6,30,22,3,6,102
